	Mode	Type	Ancien	Eloign	Superf
336	NR1	NR2	NR3	plus_5km_NR	de_20_30m
337	Seul	Appart	plus_3ans	de_1_5km	de_20_30m
338	NR1	NR2	NR3	plus_5km_NR	NR5
339	NR1	Appart	NR3	plus_5km_NR	plus_30m
340	Seul	Appart	de_1_3ans	de_1_5km	plus_30m
341	Seul	NR2	de_1_3ans	plus_5km_NR	de_10_20m
342	NR1	NR2	NR3	de_1_5km	NR5
343	Couple	Appart	NR3	de_1_5km	de_10_20m
344	NR1	Appart	de_1_3ans	de_1_5km	plus_30m
345	NR1	Appart	NR3	de_1_5km	plus_30m
346	Seul	NR2	plus_3ans	de_1_5km	moins_10m
347	Seul	Appart	plus_3ans	de_1_5km	plus_30m
348	Seul	Appart	plus_3ans	plus_5km_NR	plus_30m
349	Seul	Appart	plus_3ans	de_1_5km	plus_30m
350	Seul	Appart	plus_3ans	plus_5km_NR	plus_30m
351	Seul	Appart	plus_3ans	de_1_5km	de_10_20m
352	NR1	Appart	NR3	moins_1km	plus_30m
353	Seul	Appart	plus_3ans	de_1_5km	plus_30m
354	NR1	Appart	NR3	plus_5km_NR	plus_30m
355	Couple	Appart	plus_3ans	plus_5km_NR	de_20_30m
356	NR1	Chamb	NR3	de_1_5km	de_20_30m
357	NR1	Chamb	NR3	de_1_5km	plus_30m
358	Coloc	Appart	plus_3ans	de_1_5km	plus_30m
359	Coloc	Cite	NR3	plus_5km_NR	plus_30m
360	NR1	Appart	NR3	plus_5km_NR	plus_30m
361	Seul	Chamb	NR3	de_1_5km	de_10_20m
362	Seul	Cite	NR3	de_1_5km	plus_30m
363	NR1	Chamb	NR3	plus_5km_NR	plus_30m
364	NR1	Studio	plus_3ans	de_1_5km	plus_30m
365	Seul	Appart	plus_3ans	plus_5km_NR	plus_30m
366	Seul	Appart	de_1_3ans	plus_5km_NR	plus_30m
367	NR1	Appart	NR3	plus_5km_NR	plus_30m
368	Seul	Chamb	plus_3ans	plus_5km_NR	de_20_30m
369	Seul	NR2	NR3	plus_5km_NR	de_10_20m
370	Seul	Appart	plus_3ans	de_1_5km	plus_30m
371	Seul	Autre	plus_3ans	moins_1km	de_10_20m
372	NR1	Chamb	plus_3ans	de_1_5km	plus_30m
373	Seul	Autre	plus_3ans	de_1_5km	plus_30m
374	Couple	Autre	NR3	plus_5km_NR	plus_30m
375	Seul	Appart	NR3	de_1_5km	plus_30m
376	NR1	Autre	NR3	moins_1km	plus_30m
377	Seul	Autre	de_1_3ans	plus_5km_NR	plus_30m
378	NR1	NR2	NR3	de_1_5km	NR5
379	Seul	Appart	NR3	plus_5km_NR	de_10_20m
380	Couple	Autre	de_1_3ans	de_1_5km	plus_30m
381	Seul	NR2	plus_3ans	plus_5km_NR	moins_10m
382	Coloc	NR2	moins_1an	de_1_5km	plus_30m
383	NR1	Autre	de_1_3ans	plus_5km_NR	NR5
